,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'whole milk', 'sausage'})","frozenset({'rolls/buns', 'yogurt'})",0.10697793740379682,0.11133914828116984,0.022832221652129298,0.21342925659472423,1.916929129507454,0.01092138921671426,1.1297913877035126,0.5356332449993383
1,"frozenset({'rolls/buns', 'yogurt'})","frozenset({'whole milk', 'sausage'})",0.11133914828116984,0.10697793740379682,0.022832221652129298,0.20506912442396313,1.9169291295074538,0.01092138921671426,1.123395870048557,0.5382619300931573
2,"frozenset({'yogurt', 'whole milk'})","frozenset({'rolls/buns', 'sausage'})",0.15059004617752694,0.0823499230374551,0.022832221652129298,0.151618398637138,1.84114803080238,0.010431142939203145,1.0816477814799474,0.5378564471849029
3,"frozenset({'rolls/buns', 'sausage'})","frozenset({'yogurt', 'whole milk'})",0.0823499230374551,0.15059004617752694,0.022832221652129298,0.2772585669781932,1.8411480308023798,0.010431142939203145,1.1752611861078184,0.49785929455667144
4,"frozenset({'sausage', 'whole milk'})","frozenset({'yogurt', 'other vegetables'})",0.10697793740379682,0.12031811185223192,0.023088763468445357,0.2158273381294964,1.79380589345155,0.010217380030174266,1.1217961692893557,0.4955376807430814
5,"frozenset({'yogurt', 'other vegetables'})","frozenset({'sausage', 'whole milk'})",0.12031811185223192,0.10697793740379682,0.023088763468445357,0.19189765458422176,1.79380589345155,0.010217380030174266,1.1050853492285468,0.5030523962282493
6,"frozenset({'yogurt', 'bottled water'})","frozenset({'whole milk', 'other vegetables'})",0.06644433042585941,0.1913801949717804,0.022062596203181118,0.33204633204633205,1.7350088502903516,0.009346467291510742,1.2105926560827103,0.45378554036695484
7,"frozenset({'whole milk', 'other vegetables'})","frozenset({'yogurt', 'bottled water'})",0.1913801949717804,0.06644433042585941,0.022062596203181118,0.11528150134048257,1.7350088502903516,0.009346467291510742,1.0552008022762256,0.5238977098335497
8,"frozenset({'rolls/buns', 'whole milk'})","frozenset({'yogurt', 'sausage'})",0.17855310415597742,0.07542329399692149,0.022832221652129298,0.12787356321839083,1.6954120728751276,0.00936515838331007,1.0601406711336783,0.49932977282456903
9,"frozenset({'yogurt', 'sausage'})","frozenset({'rolls/buns', 'whole milk'})",0.07542329399692149,0.17855310415597742,0.022832221652129298,0.3027210884353742,1.6954120728751274,0.00936515838331007,1.1780750603811836,0.44363316664380414
10,"frozenset({'whole milk', 'soda'})","frozenset({'rolls/buns', 'sausage'})",0.15110312981015905,0.0823499230374551,0.02103642893791688,0.1392190152801358,1.6905785718441415,0.008593097827331694,1.066066854696132,0.4811968835916827
11,"frozenset({'rolls/buns', 'sausage'})","frozenset({'whole milk', 'soda'})",0.0823499230374551,0.15110312981015905,0.02103642893791688,0.2554517133956386,1.6905785718441415,0.008593097827331694,1.1401501896692006,0.4451441117710031
