,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
0,"frozenset({'sausage', 'whole milk'})","frozenset({'rolls/buns', 'yogurt'})",0.10697793740379682,0.11133914828116984,0.022832221652129298,0.21342925659472423,1.916929129507454
1,"frozenset({'rolls/buns', 'yogurt'})","frozenset({'sausage', 'whole milk'})",0.11133914828116984,0.10697793740379682,0.022832221652129298,0.20506912442396313,1.9169291295074538
2,"frozenset({'yogurt', 'whole milk'})","frozenset({'rolls/buns', 'sausage'})",0.15059004617752694,0.0823499230374551,0.022832221652129298,0.151618398637138,1.84114803080238
3,"frozenset({'rolls/buns', 'sausage'})","frozenset({'yogurt', 'whole milk'})",0.0823499230374551,0.15059004617752694,0.022832221652129298,0.2772585669781932,1.8411480308023798
4,"frozenset({'yogurt', 'other vegetables'})","frozenset({'sausage', 'whole milk'})",0.12031811185223192,0.10697793740379682,0.023088763468445357,0.19189765458422176,1.79380589345155
5,"frozenset({'sausage', 'whole milk'})","frozenset({'yogurt', 'other vegetables'})",0.10697793740379682,0.12031811185223192,0.023088763468445357,0.2158273381294964,1.79380589345155
6,"frozenset({'whole milk', 'other vegetables'})","frozenset({'yogurt', 'bottled water'})",0.1913801949717804,0.06644433042585941,0.022062596203181118,0.11528150134048257,1.7350088502903516
7,"frozenset({'yogurt', 'bottled water'})","frozenset({'whole milk', 'other vegetables'})",0.06644433042585941,0.1913801949717804,0.022062596203181118,0.33204633204633205,1.7350088502903516
8,"frozenset({'rolls/buns', 'whole milk'})","frozenset({'yogurt', 'sausage'})",0.17855310415597742,0.07542329399692149,0.022832221652129298,0.12787356321839083,1.6954120728751276
9,"frozenset({'yogurt', 'sausage'})","frozenset({'rolls/buns', 'whole milk'})",0.07542329399692149,0.17855310415597742,0.022832221652129298,0.3027210884353742,1.6954120728751274
10,"frozenset({'rolls/buns', 'sausage'})","frozenset({'whole milk', 'soda'})",0.0823499230374551,0.15110312981015905,0.02103642893791688,0.2554517133956386,1.6905785718441415
11,"frozenset({'whole milk', 'soda'})","frozenset({'rolls/buns', 'sausage'})",0.15110312981015905,0.0823499230374551,0.02103642893791688,0.1392190152801358,1.6905785718441415
12,"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",frozenset({'sausage'}),0.0659312467932273,0.2060030785017958,0.022832221652129298,0.3463035019455253,1.6810598388339446
13,frozenset({'sausage'}),"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",0.2060030785017958,0.0659312467932273,0.022832221652129298,0.11083437110834371,1.6810598388339446
14,"frozenset({'rolls/buns', 'other vegetables'})","frozenset({'whole milk', 'sausage'})",0.14674191893278604,0.10697793740379682,0.02616726526423807,0.17832167832167833,1.6669014438798613
15,"frozenset({'whole milk', 'sausage'})","frozenset({'rolls/buns', 'other vegetables'})",0.10697793740379682,0.14674191893278604,0.02616726526423807,0.24460431654676257,1.666901443879861
16,"frozenset({'rolls/buns', 'sausage'})","frozenset({'whole milk', 'other vegetables'})",0.0823499230374551,0.1913801949717804,0.02616726526423807,0.31775700934579443,1.660344265991832
17,"frozenset({'whole milk', 'other vegetables'})","frozenset({'rolls/buns', 'sausage'})",0.1913801949717804,0.0823499230374551,0.02616726526423807,0.13672922252010725,1.660344265991832
18,frozenset({'yogurt'}),"frozenset({'sausage', 'rolls/buns', 'whole milk'})",0.28296562339661363,0.04874294510005131,0.022832221652129298,0.08068902991840436,1.6553991506417904
19,"frozenset({'sausage', 'rolls/buns', 'whole milk'})",frozenset({'yogurt'}),0.04874294510005131,0.28296562339661363,0.022832221652129298,0.46842105263157896,1.6553991506417904
20,"frozenset({'yogurt', 'whole milk'})","frozenset({'other vegetables', 'sausage'})",0.15059004617752694,0.09286813750641354,0.023088763468445357,0.15332197614991483,1.6509642625203538
21,"frozenset({'other vegetables', 'sausage'})","frozenset({'yogurt', 'whole milk'})",0.09286813750641354,0.15059004617752694,0.023088763468445357,0.24861878453038677,1.6509642625203536
22,"frozenset({'rolls/buns', 'soda'})","frozenset({'sausage', 'whole milk'})",0.11980502821959979,0.10697793740379682,0.02103642893791688,0.17558886509635974,1.6413558660566192
23,"frozenset({'sausage', 'whole milk'})","frozenset({'rolls/buns', 'soda'})",0.10697793740379682,0.11980502821959979,0.02103642893791688,0.19664268585131892,1.6413558660566192
